relative_time [ms],Bfield [microteslas]
0,349.71166262351795
38,350.1619255890749
105,350.3115534948696
171,350.40400900972867
238,350.622348878359
306,350.6504341623911
371,350.86497504861705
438,350.69347073991156
506,350.84673804538687
571,351.53721324421196
638,351.9163551247637
706,352.4452207058557
771,353.379148761753
838,354.77114794486664
906,356.7313171023585
971,358.48999337376074
1038,360.5700819277641
1106,363.20490194046374
1171,365.6831573837456
1238,368.00828351034335
1304,370.51679405690874
1371,374.01466334881945
1438,377.50976575508605
1506,381.1605077381814
1571,385.279703044967
1638,388.990667171138
1706,392.6409539205365
1771,397.35980061350836
1838,402.6400216915688
1906,407.9404867530078
1971,415.26051329531634
2038,424.4790127066847
2105,430.85636103574126
2171,440.4526779407132
2238,449.1708919136771
2306,459.37535143368365
2371,473.49113752392407
2438,487.14124334439845
2506,504.14501929028717
2571,522.5756252265298
2638,540.8170963770823
2706,564.8619531938654
2771,591.7995369996524
2838,618.5547755485595
2906,651.2784517120449
2971,689.1922594422186
3038,726.8919197520306
3105,774.262368258034
3171,822.6136205410136
3238,866.4636324985188
3306,921.147964285958
3371,982.7041281436127
3438,1042.4915078000686
3506,1118.3082218010418
3571,1189.5047153746043
3638,1270.646260476665
3706,1348.4017477616765
3775,1426.0691168588874
3838,1502.0084829880973
3905,1603.6658839005133
3975,1724.7520188482051
4041,1833.7589593963726
4105,1976.662528865746
4174,2126.4270595055673
4238,2252.9405862980207
4309,2300.02112780811
4373,2305.819373104483
4438,2316.3982214725593
4508,2323.708597068413
4573,2320.8557925521645
4640,2320.4895366851533
4706,2317.987154305585
4773,2311.042463681924
4839,2306.5851505598116
4906,2337.042170497136
4971,2400.576033988043
5039,2434.138749786603
5109,2395.994554378123
5172,2360.1773651985905
5238,2323.6876459528526
5306,2303.8782651169204
5371,2290.4003911409454
5438,2283.839085974941
5506,2283.5213786997674
5571,2284.418372073328
5638,2285.9888743372726
5706,2288.452487882418
5771,2292.63731766958
5838,2296.9398501748346
5905,2422.850154098501
5971,2428.452751716084
6038,2426.4798749077872
6106,2424.4667139208846
6171,2424.903386509802
6238,2417.7891472166048
6305,2407.638332533391
6371,2400.4964065813956
6438,2363.8291735607236
6506,2256.2880668759085
6571,2130.6985477082776
6638,2035.0833006713297
6706,1935.7581628882199
6771,1829.9758048706499
6838,1744.9239310716
6905,1644.6245847577866
6971,1535.8747680371935
7038,1448.5902415548883
7106,1351.8813906601238
7171,1252.0599086787543
7238,1172.657996426492
7305,1093.6952941594916
7371,1027.7210855112
7438,978.9148167728848
7505,930.5365745186372
7571,887.0951624477115
7638,853.494264665892
7705,816.6645777741463
7771,783.2852745778996
7838,754.754350674031
7905,716.6067059826075
7971,676.7429519088032
8038,646.5403837129226
8105,615.3519592945033
8171,588.074214935219
8238,570.2002191342473
8306,555.5203520533535
8371,545.1681146812739
8438,534.2821190313215
8505,524.0101140726578
8571,515.3360360153233
8638,505.1773220871395
8705,494.2784226987817
8771,483.75682473015246
8838,474.1071287397651
8905,465.69342006092387
8971,459.08949700074623
9038,452.1047089511583
9105,444.80809911840356
9171,437.75550152458385
9238,430.57508057094185
9306,424.28183794092985
9371,420.996405611812
9438,416.68024287710097
9505,411.8406778511488
9571,407.56597551397397
9638,404.4987845792976
9706,401.92549982642635
9771,398.78392673046477
9838,396.1489134371054
9905,394.7768203792673
9971,395.13175987742727
10038,394.4669863044933
10106,393.01896863778126
10171,391.63450884466454
10238,390.2624281004796
10305,388.3764300290447
10371,386.41395043487205
10438,384.76782875448055
10506,383.85379117582187
10571,382.7880742744142
10638,381.1617823526511
10705,380.1614343727543
10771,379.0523159648029
10838,377.8714190214799
10906,377.100685684979
10971,376.88579789735655
11038,376.5855076328934
11105,376.8291685499064
11171,376.5562247081581
11238,375.96020680388676
11305,376.3871650313861
11375,376.24606810909603
11438,376.0469781966611
11505,376.1147206074192
11574,376.40866133872055
11638,376.18604156860306
11706,376.95786143434526
11774,377.19341493046704
11838,377.2295493258065
11909,377.4168853612535
11974,377.45164788286417
12038,377.1461607384353
12108,377.3593225200616
12173,377.40489716030544
12240,377.1233940629643
12309,377.3806002785244
12373,377.1463132294631
12437,376.91868394308455
12506,377.59303961878567
12571,377.55596635244854
12638,377.9336652889657
12709,378.4998871618923
12772,378.7576250170664
12843,379.1616957500759
